sequenceId,itemPosition,Whale,Rhythm,Tempo,Ornamentation,Synchrony,Duration,TsToAbs,Token,Rubato
186,4,1,5,4,0,0,1.3474917,17.0308,f5.\,\
186,5,1,5,4,1,0,1.3038666,22.08809999999994,f5*\,\
187,0,1,5,4,0,0,1.3982333999999998,0.0,f5.?,?
187,1,1,5,4,0,0,1.33905,5.759000000000015,f5.\,\
188,0,1,5,2,0,1,0.7989781,0.0,f3.?,?
188,1,10,3,0,1,0,0.3884,2.846199999999953,d1*?,?
188,2,11,5,2,0,1,0.771925,3.528099999999995,f3.?,?
188,3,10,5,2,1,1,0.7410285,6.483600000000024,f3*?,?
188,4,11,3,0,0,0,0.4090509999999999,6.984167600000092,d1.?,?
188,5,11,5,2,0,1,0.7726332,10.227300000000014,f3.?,?
188,6,10,3,0,1,0,0.3859215,10.740800000000036,d1*?,?
188,7,11,5,2,0,1,0.7669348,14.02670000000012,f3.=,=
188,8,10,3,0,1,1,0.37367,14.30930000000012,d1*=,=
188,9,3,5,4,0,0,1.3419417,23.23610000000008,f5.?,?
188,10,3,5,4,0,0,1.3785,27.573300000000017,f5./,/
188,11,3,5,4,0,0,1.3118333,31.596500000000106,f5.\,\
188,12,3,5,4,0,0,1.2985833999999998,35.77009999999996,f5.=,=
188,13,3,5,4,0,0,1.2682666,39.78629999999998,f5.\,\
188,14,3,5,4,0,0,1.2298416,43.82449999999994,f5.\,\
188,15,3,5,4,0,0,1.2706333,47.7156,f5./,/
188,16,3,5,4,0,1,1.2262084,51.700000000000045,f5.\,\
188,17,4,7,2,0,0,0.6739417,60.48859999999991,h3.?,?
188,18,4,7,2,0,0,0.6339583,65.55490000000009,h3.\,\
188,19,5,7,2,0,0,0.6265666999999999,80.75819999999999,h3.?,?
188,20,5,7,2,0,1,0.6413667000000001,87.9389000000001,h3.=,=
188,21,6,5,4,0,0,1.3120174,93.98929999999996,f5.?,?
188,22,6,5,4,0,0,1.3328779,98.81240000000004,f5./,/
189,0,1,5,4,0,0,1.5162833,0.0,f5.?,?
189,1,1,5,4,0,0,1.4745333,5.096900000000005,f5.\,\
